name,slug,value,date_of_information,ranking,region
Afghanistan,afghanistan,"38,346,720",2022 est.,37,South Asia
Albania,albania,"3,095,344",2022 est.,136,Europe
Algeria,algeria,"44,178,884",2022 est.,34,Africa
American Samoa,american-samoa,"45,443",2022 est.,210,Australia and Oceania
Andorra,andorra,"85,560",2022 est.,199,Europe
Angola,angola,"34,795,287",2022 est.,42,Africa
Anguilla,anguilla,"18,741",2022 est.,219,Central America and the Caribbean
Antigua and Barbuda,antigua-and-barbuda,"100,335",2022 est.,196,Central America and the Caribbean
Argentina,argentina,"46,245,668",2022 est.,32,South America
Armenia,armenia,"3,000,756",2022 est.,138,Middle East
Aruba,aruba,"122,320",2022 est.,188,Central America and the Caribbean
Australia,australia,"26,141,369",2022 est.,54,Australia and Oceania
Austria,austria,"8,913,088",2022 est.,99,Europe
Azerbaijan,azerbaijan,"10,353,296",2022 est.,90,Middle East
Bahamas,bahamas-the,"355,608",2022 est.,178,Central America and the Caribbean
Bahrain,bahrain,"1,540,558",2022 est.,155,Middle East
Bangladesh,bangladesh,"165,650,475",2022 est.,8,South Asia
Barbados,barbados,"302,674",2022 est.,180,Central America and the Caribbean
Belarus,belarus,"9,413,505",2022 est.,96,Europe
Belgium,belgium,"11,847,338",2022 est.,81,Europe
Belize,belize,"412,387",2022 est.,175,Central America and the Caribbean
Benin,benin,"13,754,688",2022 est.,74,Africa
Bermuda,bermuda,"72,337",2022 est.,202,North America
Bhutan,bhutan,"867,775",2022 est.,165,South Asia
"Bolivia, Plurinational State of",bolivia,"12,054,379",2022 est.,79,South America
Bosnia and Herzegovina,bosnia-and-herzegovina,"3,816,459",2022 est.,130,Europe
Botswana,botswana,"2,384,246",2022 est.,145,Africa
Brazil,brazil,"217,240,060",2022 est.,7,South America
British Virgin Islands,british-virgin-islands,"38,632",2022 est.,213,Central America and the Caribbean
Brunei Darussalam,brunei,"478,054",2022 est.,173,East and Southeast Asia
Bulgaria,bulgaria,"6,873,253",2022 est.,107,Europe
Burkina Faso,burkina-faso,"21,935,389",2022 est.,59,Africa
Myanmar,burma,"57,526,449",2022 est.,25,East and Southeast Asia
Burundi,burundi,"12,696,478",2022 est.,77,Africa
Cape Verde,cabo-verde,"596,707",2022 est.,172,Africa
Cambodia,cambodia,"16,713,015",2022 est.,72,East and Southeast Asia
Cameroon,cameroon,"29,321,637",2022 est.,51,Africa
Canada,canada,"38,232,593",2022 est.,38,North America
Cayman Islands,cayman-islands,"64,309",2022 est.,204,Central America and the Caribbean
Central African Republic,central-african-republic,"5,454,533",2022 est.,119,Africa
Chad,chad,"17,963,211",2022 est.,67,Africa
Chile,chile,"18,430,408",2022 est.,66,South America
China,china,"1,410,539,758",2022 est.,1,East and Southeast Asia
Christmas Island,christmas-island,"2,205",2016 est.,230,Australia and Oceania
Cocos (Keeling) Islands,cocos-keeling-islands,596,July 2014 est.,236,Australia and Oceania
Colombia,colombia,"49,059,221",2022 est.,29,South America
Comoros,comoros,"876,437",2022 est.,164,Africa
"Congo, the Democratic Republic of the",congo-democratic-republic-of-the,"108,407,721",2022 est.,14,Africa
Congo,congo-republic-of-the,"5,546,307",2022 est.,118,Africa
