Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3566.269439
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4066.48323
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15491.961
Algeria,DZA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11198.23348
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,5906.115677
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,22321.87002
Arab World,ARB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,14366.29925
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,22461.44094
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,16057.00646
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,41273.61505
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,51090.26333
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,55867.18381
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15094.2841
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,34663.49645
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,51854.71637
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,6263.004635
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15417.29644
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,19092.11117
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,53287.15361
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9473.705619
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3435.171617
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,81165.65094
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,8244.235658
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,16737.11106
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15518.65105
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15093.46512
British Virgin Islands,VGB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,58669.90069
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,26961.10608
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2158.858516
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,708.1783134
Cabo Verde,CPV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7379.247565
Cambodia,KHM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4533.864023
Cameroon,CMR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3723.532337
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,49296.37921
Caribbean small states,CSS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,18000.14783
Cayman Islands,CYM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,71353.88808
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,823.9821853
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,35819.5639
Chad,TCD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1412.670718
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,25886.12142
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,18187.84112
Colombia,COL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15616.74783
Comoros,COM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3245.768697
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1132.65423
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3670.199622
Costa Rica,CRI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,22070.91981
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,5537.369758
Croatia,HRV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,34302.11322
Cuba,CUB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Curacao,CUW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,23114.95214
Cyprus,CYP,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,44996.00391
Czechia,CZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,41052.33252
Denmark,DNK,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,59935.11992
Djibouti,DJI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4989.408723
Dominica,DMA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11463.59787
Dominican Republic,DOM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,19338.01511
Early-demographic dividend,EAR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9913.753059
East Asia & Pacific,EAS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,19194.56887
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15942.20521
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,16119.53969
Ecuador,ECU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,10859.21783
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,12780.75987
El Salvador,SLV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9396.01378
Equatorial Guinea,GNQ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,14918.29673
Eritrea,ERI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Estonia,EST,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,37711.81883
Eswatini,SWZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9058.583177
Ethiopia,ETH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2381.165784
Euro area,EMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,47867.75447
Europe & Central Asia,ECS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,36711.47008
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,22996.05319
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,24670.62667
European Union,EUU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,45977.40269
Faroe Islands,FRO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Fiji,FJI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,12388.10853
Finland,FIN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,49275.15378
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4214.422454
France,FRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,45904.4113
French Polynesia,PYF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Gabon,GAB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,13939.78681
"Gambia, The",GMB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2113.614844
Georgia,GEO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,17078.34096
Germany,DEU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,53969.62555
Ghana,GHA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,5480.329983
Gibraltar,GIB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Greece,GRC,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,31704.42561
Greenland,GRL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Grenada,GRD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,14462.93673
Guam,GUM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Guatemala,GTM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9162.052788
Guinea,GIN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2699.128855
Guinea-Bissau,GNB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1855.111973
Guyana,GUY,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,35634.68891
Haiti,HTI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2799.112561
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2578.81452
High income,HIC,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,51743.67723
Honduras,HND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,5709.124208
"Hong Kong SAR, China",HKG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,58478.88152
Hungary,HUN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,35356.78153
IBRD only,IBD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,14384.28228
Iceland,ISL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,55567.42621
IDA & IBRD total,IBT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11545.74295
IDA blend,IDB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,5153.923533
IDA only,IDX,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3416.632144
IDA total,IDA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3978.844908
India,IND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7112.039396
Indonesia,IDN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,12409.75885
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15461.07934
Iraq,IRQ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9199.020694
Ireland,IRL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,112445.421
Isle of Man,IMN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Israel,ISR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,44393.3003
Italy,ITA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,44292.19118
Jamaica,JAM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,10107.86479
Japan,JPN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,41837.9104
Jordan,JOR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,9490.666716
Kazakhstan,KAZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,26093.29458
Kenya,KEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4881.531729
Kiribati,KIR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2002.718218
