Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.550801754
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.751587272
"Korea, Dem. People's Rep.",PRK,Voice and Accountability: Percentile Rank,VA.PER.RNK,0
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.183776498
"Korea, Dem. People's Rep.",PRK,Regulatory Quality: Percentile Rank,RQ.PER.RNK,0
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.879552364
Somalia,SOM,Rule of Law: Percentile Rank,RL.PER.RNK,0
South Sudan,SSD,Control of Corruption: Percentile Rank,CC.PER.RNK,0
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.27180624
South Sudan,SSD,Government Effectiveness: Percentile Rank,GE.PER.RNK,0
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.658442259
Syrian Arab Republic,SYR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.114945494
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.139465705
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.471698105
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.407875538
Eritrea,ERI,Regulatory Quality: Percentile Rank,RQ.PER.RNK,0.471698105
Albania,ALB,Government Effectiveness: Estimate,GE.EST,0.065062843
Somalia,SOM,Control of Corruption: Percentile Rank,CC.PER.RNK,0.471698105
"Venezuela, RB",VEN,Rule of Law: Percentile Rank,RL.PER.RNK,0.471698105
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.159353822
"Yemen, Rep.",YEM,Government Effectiveness: Percentile Rank,GE.PER.RNK,0.471698105
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.165779099
Turkmenistan,TKM,Voice and Accountability: Percentile Rank,VA.PER.RNK,0.483091801
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.741771519
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-1.003874183
Haiti,HTI,Government Effectiveness: Percentile Rank,GE.PER.RNK,0.943396211
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.637929857
Somalia,SOM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.943396211
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.513090253
South Sudan,SSD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,0.943396211
Syrian Arab Republic,SYR,Control of Corruption: Percentile Rank,CC.PER.RNK,0.943396211
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-1.063573241
Syrian Arab Republic,SYR,Rule of Law: Percentile Rank,RL.PER.RNK,0.943396211
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.832472682
Syrian Arab Republic,SYR,Voice and Accountability: Percentile Rank,VA.PER.RNK,0.966183603
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.128859043
American Samoa,ASM,Voice and Accountability: Estimate,VA.EST,0.95764786
Libya,LBY,Regulatory Quality: Percentile Rank,RQ.PER.RNK,1.415094376
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,1.27020359
Mali,MLI,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,1.415094376
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.667918146
Somalia,SOM,Government Effectiveness: Percentile Rank,GE.PER.RNK,1.415094376
South Sudan,SSD,Rule of Law: Percentile Rank,RL.PER.RNK,1.415094376
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,0.545899749
"Yemen, Rep.",YEM,Control of Corruption: Percentile Rank,CC.PER.RNK,1.415094376
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.221117854
Eritrea,ERI,Voice and Accountability: Percentile Rank,VA.PER.RNK,1.449275374
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.587736487
Andorra,AND,Voice and Accountability: Estimate,VA.EST,1.102832913
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,1.886792421
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.27020359
Turkmenistan,TKM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,1.886792421
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.495304942
"Venezuela, RB",VEN,Control of Corruption: Percentile Rank,CC.PER.RNK,1.886792421
"Yemen, Rep.",YEM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,1.886792421
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.398334026
"Yemen, Rep.",YEM,Rule of Law: Percentile Rank,RL.PER.RNK,1.886792421
Andorra,AND,Rule of Law: Estimate,RL.EST,1.48544991
Myanmar,MMR,Voice and Accountability: Percentile Rank,VA.PER.RNK,1.932367206
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.64624089
Angola,AGO,Voice and Accountability: Estimate,VA.EST,-0.797131121
Iraq,IRQ,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,2.358490467
Angola,AGO,Control of Corruption: Estimate,CC.EST,-0.601941288
"Korea, Dem. People's Rep.",PRK,Control of Corruption: Percentile Rank,CC.PER.RNK,2.358490467
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.040429354
Libya,LBY,Government Effectiveness: Percentile Rank,GE.PER.RNK,2.358490467
Libya,LBY,Rule of Law: Percentile Rank,RL.PER.RNK,2.358490467
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-0.606698573
"Venezuela, RB",VEN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,2.358490467
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.021904588
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,2.415458918
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.128859043
Anguilla,AIA,Voice and Accountability: Estimate,VA.EST,..
Equatorial Guinea,GNQ,Control of Corruption: Percentile Rank,CC.PER.RNK,2.830188751
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,1.27020359
Eritrea,ERI,Rule of Law: Percentile Rank,RL.PER.RNK,2.830188751
Anguilla,AIA,Government Effectiveness: Estimate,GE.EST,1.219509363
Myanmar,MMR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,2.830188751
Syrian Arab Republic,SYR,Government Effectiveness: Percentile Rank,GE.PER.RNK,2.830188751
Anguilla,AIA,Regulatory Quality: Estimate,RQ.EST,0.972116888
"Yemen, Rep.",YEM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,2.830188751
Anguilla,AIA,Rule of Law: Estimate,RL.EST,0.428121924
Somalia,SOM,Voice and Accountability: Percentile Rank,VA.PER.RNK,2.898550749
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.943862259
Antigua and Barbuda,ATG,Voice and Accountability: Estimate,VA.EST,0.721560717
"Congo, Dem. Rep.",COD,Control of Corruption: Percentile Rank,CC.PER.RNK,3.301886797
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.310604453
"Congo, Dem. Rep.",COD,Government Effectiveness: Percentile Rank,GE.PER.RNK,3.301886797
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,-0.159468576
Iraq,IRQ,Rule of Law: Percentile Rank,RL.PER.RNK,3.301886797
Somalia,SOM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,3.301886797
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.289086968
South Sudan,SSD,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,3.301886797
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.391315579
South Sudan,SSD,Voice and Accountability: Percentile Rank,VA.PER.RNK,3.38164258
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.009163282
Argentina,ARG,Voice and Accountability: Estimate,VA.EST,0.543526769
Central African Republic,CAF,Rule of Law: Percentile Rank,RL.PER.RNK,3.773584843
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.447030485
Eritrea,ERI,Government Effectiveness: Percentile Rank,GE.PER.RNK,3.773584843
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.282877296
Libya,LBY,Control of Corruption: Percentile Rank,CC.PER.RNK,3.773584843
